phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0411.8: Ne recepvez, d’une si griefve offense.",DC0411: O vous mes yeulx qui avez incité,28,S,,C,29,T,Authentic,E,None,Phrygian,None,C
DC0411.7: Dont vient cela que la punition,DC0411: O vous mes yeulx qui avez incité,24,B,"Inverted, Displaced",E,25,Ct,Phrygian,A+A,C,Authentic+Authentic,Authentic,C
"DC0411.6: Changé m’avez ô quelle recompense,",DC0411: O vous mes yeulx qui avez incité,19,S,,A,21,T,Authentic,C+C,E,Authentic+CAD NDLT,Phrygian,C
"DC0411.5: Ma liberté pour trop d’affection,",DC0411: O vous mes yeulx qui avez incité,13,Ct,Displaced,C,15,None,Authentic,C,A+A,Authentic,Authentic+Authentic,C
"DC0411.2: Mon triste cœur à telle passion,",DC0411: O vous mes yeulx qui avez incité,8,S,,C,10,T,Authentic,None,C+C,None,Authentic+CAD NDLT,C
"DC0410.7: Et si n'ont lors de leurs dames responce,",DC0410: Si pour amans la lune est importune,23,S,Displaced,G,25,B,Authentic,C,C,Authentic,Plagal,G
"DC0410.6: Que la clerté de leurs yeulx se reconse,",DC0410: Si pour amans la lune est importune,19,S,,C,20,T,Authentic,C,G+G,Authentic,Authentic+CAD NDLT,G
DC0410.2: Pour la clerté qu'elle monstre de nuict,DC0410: Si pour amans la lune est importune,8,S,,C,9,T,Authentic,None,C,None,Authentic,G
"DC0611.2: Se degoise le Philomene,",DC0611: Sur l'aubépin qui est en fleur,7,S,,D,8,T,Authentic,None,D,None,Authentic,D
"DC0414.1: Je vouldrois ce gentil clerc estre,",DC0414: Je voudrois ce gentil clerc estre,3,None,,C,4,None,Plagal,None,F,None,Authentic,C
DC0705.8: Car un soleil mérite et mieulx.,DC0705: Soleil qui tout voit par ma foy,30,S,,G,32,T,Authentic,B-flat,None,Authentic,None,G
"DC0705.7: Je crains qu'en son amour te lie,",DC0705: Soleil qui tout voit par ma foy,26,S,,B-flat,27,T,Authentic,G,G,Authentic,Authentic,G
"DC0705.6: La lune, et en laissa les cieulx,",DC0705: Soleil qui tout voit par ma foy,21,S,,G,22,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0705.3: Je suis quasi jaloux de toy,",DC0705: Soleil qui tout voit par ma foy,10,None,,D,11,None,Plagal,G,G,Authentic,Authentic,G
"DC0705.2: Il ne fault ja que te le nie,",DC0705: Soleil qui tout voit par ma foy,6,S,,G,7,T,Authentic,D+B-flat,D,Plagal+Authentic,Plagal,G
"DC0705.1: Soleil qui tout voit par ma foy,",DC0705: Soleil qui tout voit par ma foy,2,None,,D,3,None,Plagal,None,B-flat+G,None,Authentic+Authentic,G
"DC0409.6: Pour ne servir aulx amoureux d’exemple,",DC0409: Jamais amour n'aura ceste puissance,36,Ct,"Displaced, Inverted",D,38,S,Authentic,D+A,None,Plagal+Phrygian,None,D
"DC0409.5: Contente suis désormais n’estre rien,",DC0409: Jamais amour n'aura ceste puissance,31,,,D,33,,Plagal,G,D+D,Authentic,Authentic+Authentic,D
"DC0409.2: De commander à ce qui n’est plus sien,",DC0409: Jamais amour n'aura ceste puissance,13,S,,G,14,T,Authentic,B-flat+B-flat,D+A,Authentic+Authentic,Plagal+Phrygian,D
"DC0409.1: Jamais amour n’aura ceste puissance,",DC0409: Jamais amour n'aura ceste puissance,5,S,,B-flat,7,T,Authentic,None,G,None,Authentic,D
"DC0408.8: Plaisir, prouffit, honneur, advancement.",DC0408: Amour se doibt figurer une rose,27,S,,G,29,T,Authentic,D,None,Plagal,None,G
"DC0408.7: Mais d’amytié l’on en peult retirer,",DC0408: Amour se doibt figurer une rose,24,None,,D,25,None,Plagal,D,G+G,Authentic,Authentic+Authentic,G
"DC0408.6: A quelque fin, pour un contentement ",DC0408: Amour se doibt figurer une rose,19,S,,D,20,T,Authentic,B-flat,D,Authentic,Plagal,G
"DC0408.2: Dont pour un temps l’odeur on peult tirer,",DC0408: Amour se doibt figurer une rose,9,S,,G,11,T,Authentic,D+D,B-flat,Phrygian+Phrygian,Authentic,G
"DC0408.1: Amour se doibt figurer une rose,",DC0408: Amour se doibt figurer une rose,5,Ct,,D,6,None,Phrygian,None,G+G,None,Authentic+Authentic,G
DC0407.8: Amour se doibt figurer une rose.,"DC0407: Plaisir, prouffit, honneur, advancement",42,S,,G,44,T,Authentic,B-flat+B-flat,None,Authentic+Authentic,None,G
"DC0407.7: Feust un rosier, lors dirois sans nul craindre,","DC0407: Plaisir, prouffit, honneur, advancement",33,S,,B-flat,35,T,Authentic,B-flat,G+G,Authentic,Authentic+Authentic,G
"DC0407.6: En une fleur, et que mortelle chose","DC0407: Plaisir, prouffit, honneur, advancement",30,S,"Displaced, Evaded",B-flat,31,Ct,Authentic,G+G,B-flat+B-flat,Authentic+Authentic,Authentic+Authentic,G
"DC0407.2: Maintz gens ont eu pour à l'amour attaindre,","DC0407: Plaisir, prouffit, honneur, advancement",9,S,,G,11,T,Authentic,D,B-flat,Plagal,Authentic,G
"DC0704.6: Avoir pour soy, ô conqueste excellente,",DC0704: Mon ami est en grace si parfaict,17,Ct,Displaced,D,18,B,Phrygian,G,None,Authentic,None,D
DC0704.5: Car comme moy un chascun le desire,DC0704: Mon ami est en grace si parfaict,15,S,Incomplete,G,16,T,Authentic,G,D,Authentic,Phrygian,D
"DC0704.2: Que d'un chascun à soy le cœur il tire,",DC0704: Mon ami est en grace si parfaict,8,S,,G,10,T,Authentic,D,G,Authentic,Authentic,D
"DC0704.1: Mon amy est en grace si perfaict,",DC0704: Mon ami est en grace si parfaict,4,T,"Displaced, Inverted, Evaded",D,4,Ct,Authentic,None,G,None,Authentic,D
DC0703.10: Nostre curé souvent m'en a preschée.,DC0703: Un bon vieillard qui n'avoit que le bec,42,S,,G,45,T,Authentic,D,None,Phrygian,None,G
"DC0703.9: L'esprit est prompt  mais infirme est la chair,",DC0703: Un bon vieillard qui n'avoit que le bec,35,S,,B-flat,36,T,Authentic,D,D,Authentic,Phrygian,G
"DC0703.8: Dont se moquant dict la dame faschée,",DC0703: Un bon vieillard qui n'avoit que le bec,29,S,,D,30,T,Authentic,B-flat,B-flat,Authentic,Authentic,G
"DC0703.7: Plus de cent fois, et ne peult deslascher,",DC0703: Un bon vieillard qui n'avoit que le bec,23,S,,B-flat,24,T,Authentic,D,D,Authentic,Authentic,G
"DC0703.6: Il taste, il monte assez pour l'escacher,",DC0703: Un bon vieillard qui n'avoit que le bec,20,Ct,Displaced,D,20,B,Authentic,A,B-flat,Phrygian,Authentic,G
"DC0703.5: Pour tout payement luy chante ceste game,",DC0703: Un bon vieillard qui n'avoit que le bec,15,S,,A,15,T,Phrygian,G,D,Authentic,Authentic,G
"DC0703.2: Se trouvant court pres d'une jeune dame,",DC0703: Un bon vieillard qui n'avoit que le bec,8,S,,G,9,T,Authentic,D,A,Authentic,Phrygian,G
"DC0703.1: Un bon vieillard qui n'avoit que le bec,",DC0703: Un bon vieillard qui n'avoit que le bec,4,Ct,Displaced,D,5,B,Authentic,None,G,None,Authentic,G
DC0702.8: Ny a Dieu qui n'en fut tenté.,DC0702: Je suis bien aise qu'elle est belle,26,S,,D,28,T,Authentic,D,None,Authentic,None,D
"DC0702.7: Mais des yeulx de ma damoyselle,",DC0702: Je suis bien aise qu'elle est belle,18,None,,A,18,None,Plagal,A,D,Authentic,Authentic,D
DC0702.6: Qui me face deffier d'elle ,DC0702: Je suis bien aise qu'elle est belle,15,S,,A,16,T,Authentic,D,A,CadInCad,Plagal,D
"DC0702.2: Car pour moy seul est sa beaulté,",DC0702: Je suis bien aise qu'elle est belle,9,S,,D,10,T,CadInCad,A,A,Authentic,Authentic,D
"DC0702.1: Je suis bien aise, qu'elle est belle,",DC0702: Je suis bien aise qu'elle est belle,3,S,,A,4,T,Authentic,None,D,None,CadInCad,D
DC0701.10: Advisez quel jeu vous avez.,"DC0701: Or sus, pas je ne veulx refaire",26,S,,D,28,T,Authentic,A,None,Plagal,None,D
"DC0701.8: A ce joly jeu que sçavez,","DC0701: Or sus, pas je ne veulx refaire",21,None,,A,22,None,Plagal,D,D,Authentic,Authentic,D
"DC0701.7: Quand recommencer je vous prie,","DC0701: Or sus, pas je ne veulx refaire",18,T,"Displaced, Inverted",D,19,Ct,Authentic,C,A,Authentic,Plagal,D
"DC0701.6: Ne niant que j’en eusses envie,","DC0701: Or sus, pas je ne veulx refaire",15,Ct,Displaced,C,16,T,Authentic,A,D,Authentic,Authentic,D
"DC0701.2: A ceste heure que m'en priez,","DC0701: Or sus, pas je ne veulx refaire",5,S,,A,6,T,Authentic,None,C,None,Authentic,D
"DC0412.7: Serrez cela dict il à coup,",DC0412: Un galland le fit et refit,27,None,,G,27,None,Plagal,C,C,Authentic,Authentic,C
DC0608.8: Elle m'aime comme soimesmes.,DC0608: Qui veult sçavoyr quelle est m'amye,47,S,,G,48,T,Authentic,D+G,None,Plagal+Authentic,None,D
"DC0406.6: Quand pour aimer le malheur ainsi croist,",DC0406: D'amour me plainctz et du mal que je sens,22,S,,G,23,T,Authentic,A+A+G,G,Phrygian+Phrygian+Authentic,Authentic,G
"DC0406.5: O fol plaisir, ô facheuse liesse,",DC0406: D'amour me plainctz et du mal que je sens,17,Ct,Displaced,A,19,B,Phrygian,G,G+G,Authentic,Authentic+Authentic,G
"DC0406.2: De trop aimer par folie, et simplesse,",DC0406: D'amour me plainctz et du mal que je sens,11,S,,G,12,T,Authentic,D,A+A,Plagal,Phrygian+Phrygian,G
"DC0405.1: La grant doulceur de vostre cler visaige,",DC0405: La grant doulceur de vostre cler visaige,8,S,,B-flat,9,T,Authentic,None,G,None,Authentic,B-flat
"DC0405.2: Me donne espoir de mercy recepvoir ,",DC0405: La grant doulceur de vostre cler visaige,17,S,,G,18,T,Authentic,B-flat,D+A,Authentic,Plagal+Phrygian,B-flat
"DC0405.5: N'ayez donc plus merveilles de me veoir,",DC0405: La grant doulceur de vostre cler visaige,23,,,D,25,,Plagal,G,G+G,Authentic,Plagal+Plagal,B-flat
"DC0405.8: Je vis sans vie, et sans mourir je meurs.",DC0405: La grant doulceur de vostre cler visaige,40,S,,G,42,T,Authentic,D+D,None,Phrygian+Phrygian,None,B-flat
"DC0405.7: Car soubz espoir de vie et mort avoir,",DC0405: La grant doulceur de vostre cler visaige,33,Ct,Displaced,D,35,B,Phrygian,G+G,G+G,Plagal+Plagal,Authentic+Authentic,B-flat
"DC0405.6: Ores chantant, ores faisant clameurs,",DC0405: La grant doulceur de vostre cler visaige,28,None,,G,30,None,Plagal,D+A,D+D,Plagal+Phrygian,Phrygian+Phrygian,B-flat
"DC0404.2: La serviray comme la plus notable,",DC0404: A tout jamais d'un vouloir immortel,17,S,,G,8,T,Authentic,D,B-flat,Authentic,Authentic,G
"DC0404.1: A tout jamais d’un vouloir immortel,",DC0404: A tout jamais d'un vouloir immortel,8,S,,D,9,T,Authentic,G,D,Authentic,Authentic,G
DC0404.6: A tout jamais.,DC0404: A tout jamais d'un vouloir immortel,55,,,D,56,,Plagal,G,D,Authentic,Plagal,G
DC0404.5: Ne soit plus qu’un par un vouloir semblable.,DC0404: A tout jamais d'un vouloir immortel,50,S,,D,52,T,Authentic,D,G,Authentic,Authentic,G
"DC0404.4: La raison est que son cœur et le mien,",DC0404: A tout jamais d'un vouloir immortel,31,S,,G,32,T,Authentic,F+F,D,Authentic+Authentic,Authentic,G
"DC0404.3: Qui soit vivant d’un joyeulx entretien,",DC0404: A tout jamais d'un vouloir immortel,23,S,Evaded,F,25,T,Authentic,B-flat,G,Authentic,Authentic,G
"DC0607.7: O en amitié l'oultre passe,",DC0607: Si m'amie a de fermeté,27,S,Evaded,B-flat,28,T,Authentic,D,G,Plagal,Authentic,G
"DC0607.6: N'ay je pas preuve de sa foy,",DC0607: Si m'amie a de fermeté,22,None,,D,23,None,Plagal,B-flat,B-flat,Authentic,Authentic,G
"DC0607.1: Si m'amie a de fermeté,",DC0607: Si m'amie a de fermeté,4,B,"Displaced, Inverted",B-flat,5,S,Authentic,None,G,None,Authentic,G
DC0403.8: Lors c’est tourment ou gist un grand plaisir.,DC0403: Prendre plaisir en aymant loyaulment,31,S,,G,34,T,Authentic,D+D,None,Authentic+Authentic,None,G
"DC0403.7: Et que l’aimant du present se contente,",DC0403: Prendre plaisir en aymant loyaulment,27,S,,D,29,T,Authentic,D+D,G+G,Authentic+Authentic,Authentic+Authentic,G
"DC0403.6: Des biens requis le meilleur à choisir,",DC0403: Prendre plaisir en aymant loyaulment,17,S,,D,22,T,Authentic,D,D+D,Authentic,Authentic+Authentic,G
"DC0403.5: Que s’il advient que la dame presente,",DC0403: Prendre plaisir en aymant loyaulment,17,T,Inverted,G,18,S,Authentic,D,D,Authentic,Authentic,G
"DC0403.4: C’est un plaisir qui desplaist, et tourmente,",DC0403: Prendre plaisir en aymant loyaulment,10,S,,G,12,T,Authentic,D,D,Authentic,Authentic,G
"DC0403.1: Prendre plaisir en aimant loyaulment,",DC0403: Prendre plaisir en aymant loyaulment,5,S,Evaded,D,6,T,Authentic,None,G+G,None,Authentic+Authentic,G
DC0402.8: Veoir s’elle aura plus de pitié de soy.,DC0402: Quand suis au lict pour prendre mon repos,28,S,,G,30,T,Authentic,D,None,Authentic,None,G
"DC0402.7: Faictz luy pour moy sentir peine pareille,",DC0402: Quand suis au lict pour prendre mon repos,22,T,"Displaced, Inverted",D,23,Ct,Authentic,D,G+G,Plagal,Authentic+Authentic,G
"DC0402.5: Lors dictz à Dieu mais il a sourde oreille,",DC0402: Quand suis au lict pour prendre mon repos,13,S,"Inverted, Evaded",C,15,T,Authentic,G+G,D,Authentic+Authentic,Plagal,G
"DC0402.2: Cent fois la nuict apres toy me reveille,",DC0402: Quand suis au lict pour prendre mon repos,8,S,,G,10,T,Authentic,D,C+C,Authentic,Authentic+Authentic,G
"DC0402.1: Quand suis au lict pour prendre mon repos,",DC0402: Quand suis au lict pour prendre mon repos,4,S,,D,4,T,Authentic,D,G+G,Authentic,Authentic+Authentic,G
DC0401.10: Tandis qu'au pot une goutte en demeure.,DC0401: Monsieur l'Abbé et monsieur son vallet,75,S,,G,77,T,Authentic,D,None,Authentic,None,G
"DC0401.9: Et son vallet jamais dormir ne peult,",DC0401: Monsieur l'Abbé et monsieur son vallet,68,,,D,71,,Plagal,G+G+A,D,Authentic+Authentic+Phrygian,Authentic,G
"DC0401.8: Estre sans vin, que sans secours ne meure,",DC0401: Monsieur l'Abbé et monsieur son vallet,61,S,,G,63,T,Authentic,G,A+D,Authentic,Phrygian+Plagal,G
DC0401.2: Sont faictz esgaulx tous deux comme de cire ,DC0401: Monsieur l'Abbé et monsieur son vallet,19,S,,G,21,T,Authentic,D+D+G,D+D,Authentic+Authentic+Authentic,Authentic+Authentic,G
"DC0401.1: Monsieur l'Abbé, et monsieur son vallet,",DC0401: Monsieur l'Abbé et monsieur son vallet,11,S,,D,13,T,Authentic,None,G+G,None,Authentic+Authentic,G
DC0606.1: Ce n'est poinct moy mon oeil qui te travaille,"DC0606: Ce n'est poinct moy, mon oeil, qui te travaille",3,S,Displaced,A,3,B,Phrygian,None,D,None,Authentic,G
"DC0525.3: Dormez toujours, et pourquoy? pource",DC0525: Recepte pour un flux de bourse,18,S,,C,20,T,Authentic,G+G+G,C+C,Authentic+Authentic+Authentic,Authentic+Authentic,C
DC0525.1: Recepte pour un flux de bourse.,DC0525: Recepte pour un flux de bourse,6,S,,G,8,T,Authentic,G+G,C+C,Authentic+Authentic,Authentic+Authentic,C
DC0524.10: Tel fol amour sans guerre n’est perfaict.,DC0524: Tels menus plaidz conferment les amours,35,S,,G,37,T,Authentic,C+C,None,Plagal+Plagal,None,G
"DC0524.9: Mais s’il procede d’un vouloir impudique,",DC0524: Tels menus plaidz conferment les amours,32,None,,C,33,None,Plagal,C+C,G+G,Authentic+Authentic,Authentic+Authentic,G
"DC0524.6: Par chasteté, et loyaulté pudique,",DC0524: Tels menus plaidz conferment les amours,21,S,,C,22,T,Authentic,C,C+C,Authentic,Authentic+Authentic,G
"DC0524.1: Telz menuz plaidz conferment les amours,",DC0524: Tels menus plaidz conferment les amours,3,S,,G,5,T,Authentic,C,G+G+G,Authentic,Authentic+Authentic+Authentic,G
"DC0523.9: Mais pour entendre au vray la fantaisie,",DC0523: Jamais amour sans guerre n'est parfaict,32,S,Evaded,C,33,T,Authentic,C,G+G,Authentic,Authentic+Authentic,C
DC0523.10: Telz menus plaidz conferment les amours.,DC0523: Jamais amour sans guerre n'est parfaict,34,S,,G,36,T,Authentic,C,None,Authentic,None,C
"DC0523.8: L’on porte groing huict, dix, ou douze jours:",DC0523: Jamais amour sans guerre n'est parfaict,27,S,Displaced,C,28,Ct,Authentic,C,C,Authentic,Authentic,C
"DC0523.7: L’on chet souvent en forte frenaisie,",DC0523: Jamais amour sans guerre n'est parfaict,22,S,Incomplete,C,23,T,Authentic,C,C,Authentic,Authentic,C
"DC0523.6: L’on a despit, l’on conçoipt jalousie,",DC0523: Jamais amour sans guerre n'est parfaict,19,T,Displaced,C,20,B,Authentic,G,C,Plagal,Authentic,C
"DC0523.5: L’on tient parfois quelque rigoreux terme,",DC0523: Jamais amour sans guerre n'est parfaict,16,None,,G,16,None,Plagal,G+G+G,G,Authentic+Authentic+Plagal,Plagal,C
"DC0523.2: Ni de durée encores qu’il feust ferme,",DC0523: Jamais amour sans guerre n'est parfaict,11,S,,G,12,T,Authentic,C+C,G+G+G,Authentic+Authentic,Plagal+Plagal+Plagal,C
"DC0523.1: Jamais amour sans guerre n’est parfaict,",DC0523: Jamais amour sans guerre n'est parfaict,5,T,"Displaced, Inverted",C,7,Ct,Authentic,None,G+G,None,Authentic+Authentic,C
DC0522.10: Je te prie donc accourcis les.,DC0522: Qui diable nous a faict ces jours,36,S,,G,37,T,Authentic,E+E,None,Plagal+Plagal,None,G
"DC0522.9: Affin que voye ma maistresse,",DC0522: Qui diable nous a faict ces jours,33,,,E,34,,Plagal,C,G+G,Authentic,Authentic+Authentic,G
DC0522.7: Tu feis durer trois nuictz sans cesse,DC0522: Qui diable nous a faict ces jours,28,T,"Displaced, Inverted, Evaded",C,29,Ct,Authentic,C+C,C,Authentic+Authentic,Authentic,G
"DC0522.6: Souvienne toy de ta jeunesse,",DC0522: Qui diable nous a faict ces jours,22,S,"Displaced, Evaded",C,23,T,Authentic,E,C,Phrygian,Authentic,G
"DC0522.3: Car ils empechent noz amours,",DC0522: Qui diable nous a faict ces jours,11,None,,C,14,None,Plagal,C+C+D+D,E+E,Plagal+Plagal+Plagal+Plagal,Phrygian+Phrygian,G
"DC0522.2: Si longs, si grandz, si ennuyeux,",DC0522: Qui diable nous a faict ces jours,10,None,,D,11,None,Plagal,C+C,C,Plagal+Plagal,Plagal,G
"DC0522.1: Qui diable nous a faict ces jours,",DC0522: Qui diable nous a faict ces jours,6,None,,C,7,None,Plagal,None,D+D+C,None,Plagal+Plagal+Plagal,G
"DC0521.10: N’en parlez plus, mon con est appresté.",DC0521: Jehan se jouant un jour avec Jehannette,43,S,,C,44,T,Authentic,C+C+C,None,Plagal+Plagal+Plagal,None,C
DC0521.8: Regardez bien qui me soit tost presté?,DC0521: Jehan se jouant un jour avec Jehannette,34,S,,G,35,T,Authentic,C,C+C+C,Authentic,Plagal+Plagal+Plagal,C
"DC0605.1: Quand tant me mectz devant les yeulx,",DC0605: Quand tant me mectz devant mes yeulx,3,None,,D,4,None,Plagal,None,G,None,Authentic,G
"DC0521.7: Jehanne dict il Si pretendz-je au con tendre,",DC0521: Jehan se jouant un jour avec Jehannette,31,T,"Inverted, Evaded, Displaced",C,31,Ct,Authentic,G+G,C,Authentic+Authentic,Authentic,C
"DC0521.6: Cerchez ailleurs a vous ne veulx contendre,",DC0521: Jehan se jouant un jour avec Jehannette,21,T,"Inverted, Displaced",G,24,S,Authentic,G+G+G,C+C,CAD NDLT+CAD NDLT+CAD NDLT,Authentic+Authentic,C
"DC0521.5: Ne pencez pas que je soye de ceulx la,",DC0521: Jehan se jouant un jour avec Jehannette,19,Ct,Displaced,G,21,B,CAD NDLT,C+E+E,G,Authentic+Phrygian+Phrygian,Authentic,C
"DC0521.4: Ami vivant ne me despucella,",DC0521: Jehan se jouant un jour avec Jehannette,14,B,"Inverted, Evaded, Displaced",C,15,S,Authentic,C,G+G+G,Plagal,CAD NDLT+CAD NDLT+CAD NDLT,C
"DC0521.2: En bas devis luy dict faisons cela,",DC0521: Jehan se jouant un jour avec Jehannette,6,S,,C,7,T,Authentic,E,C,Plagal,Plagal,C
"DC0521.1: Jehan se jouant un jour avec Jehannette,",DC0521: Jehan se jouant un jour avec Jehannette,3,None,,E,3,None,Plagal,None,E,None,Plagal,C
"DC0520.10: Ou par dieu vous yres dehors,",DC0520: Quelque yvrongne de par le monde,43,T,"Displaced, Evaded",C,45,Ct,CadInCad,C,None,Authentic,None,C
DC0520.7: Lors dict le prescheur en criant,DC0520: Quelque yvrongne de par le monde,34,S,Incomplete,G,35,T,Authentic,G+G+G,C,Authentic+Authentic+Authentic,Authentic,C
"DC0520.6: Dirent les femmes en riant,",DC0520: Quelque yvrongne de par le monde,27,Ct,"Displaced, Inverted, Evaded",G,29,None,Authentic,G+G,G+G,Authentic+Authentic,Authentic+Authentic,C
"DC0520.4: Il monstroit le bout de sa trippe,",DC0520: Quelque yvrongne de par le monde,19,S,,G,20,T,Authentic,C+C,G+G+G+G,Authentic+Authentic,Authentic+CAD NDLT+Authentic+Authentic,C
"DC0520.2: Preschoit un jour dans une pippe,",DC0520: Quelque yvrongne de par le monde,7,T,Displaced,C,8,B,Authentic,None,C+C,None,Authentic+Authentic,C
DC0519.8: Si n’as pitié plustost que tant je souffre.,"DC0519: Si je te voy, qui est ce que desire",38,S,,C,40,T,Authentic,C+C,None,Authentic+Authentic,None,C
"DC0519.6: Bruslant en feu plus ardant que n’es soulfre,","DC0519: Si je te voy, qui est ce que desire",24,Ct,Displaced,C,26,B,Authentic,C,C,Plagal,Authentic,C
"DC0519.1: Si je te voy qui est ce que desire,","DC0519: Si je te voy, qui est ce que desire",5,None,,E,6,None,Plagal,C,C+C,Authentic,Authentic+Authentic,C
"DC0518.6: Qui veult jouir il faut perseverer,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,17,S,,G,19,T,Authentic,G+G,None,Authentic+Authentic,None,G
"DC0518.5: Remord d’amour ma dit n’aye desfiance,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,13,T,"Displaced, Inverted",G,15,Ct,Authentic,C+C,G+G,Authentic+Authentic,Authentic+Authentic,G
DC0518.2: Quand du jouir ne voy aultre apparence,DC0518: Puisqu'à t'aimer ne reçoy que tourment,8,S,,C,10,T,Authentic,C+C,G+G,Authentic+Authentic,Authentic+Authentic,G
"DC0518.1: Puis qu’a t’aimer ne reçoy que tourment,",DC0518: Puisqu'à t'aimer ne reçoy que tourment,3,T,"Displaced, Inverted",C,4,Ct,Authentic,None,C+C,None,Authentic+Authentic,G
"DC0517.10: Je serviray, m’ayant pour couverture.",DC0517: Un jour dormoit Colin en my des prez,42,S,,F,43,T,Authentic,F,None,Authentic,None,F
DC0517.9: Et moy dessus de pavillon aussi,DC0517: Un jour dormoit Colin en my des prez,36,S,Incomplete,C,37,T,Authentic,F,F,CAD NDLT,Authentic,F
"DC0517.7: De traversin me fourniras ainsi,",DC0517: Un jour dormoit Colin en my des prez,27,S,Incomplete,C,29,T,Authentic,C+C,F+F,Authentic+Authentic,CAD NDLT+CAD NDLT,F
DC0517.6: Lors Colin grippe et dict n’ayez souci,DC0517: Un jour dormoit Colin en my des prez,25,S,"Evaded, Incomplete",C,26,T,Authentic,G+G,C+C+C,Plagal+Plagal,Authentic+Authentic+Authentic,F
"DC0517.5: Mais le soleil droict aux yeulx luy ennuie,",DC0517: Un jour dormoit Colin en my des prez,22,None,,G,23,None,Plagal,F+F,C+C,Authentic+Authentic,Authentic+Authentic,F
"DC0517.4: Ou cuida estre comme luy endormie,",DC0517: Un jour dormoit Colin en my des prez,17,S,,F,18,T,Authentic,C+C,G+G,Authentic+Authentic,Plagal+Plagal,F
"DC0517.3: Qui la le veoit se vint coucher au pres,",DC0517: Un jour dormoit Colin en my des prez,13,S,Evaded,C,14,T,Authentic,F+F,F+F,Authentic+Authentic,Authentic+Authentic,F
DC0516.8: Plus sollempnel encor seroit la feste.,DC0516: Il est permis trouver au lict s'amie,30,S,,F,32,T,Authentic,G+G,None,Authentic+Authentic,None,F
"DC0516.6: Bien hereticque est qui poinct ne vous feste,",DC0516: Il est permis trouver au lict s'amie,22,S,,G,24,T,Authentic,C,F+F,Authentic,Authentic+Authentic,F
"DC0516.2: Aux innocentz cest bonne occasion,",DC0516: Il est permis trouver au lict s'amie,7,T,"Displaced, Inverted, Evaded",C,8,Ct,Authentic,None,C,None,Authentic,F
"DC0515.10: Qu’en ce lieu est, le palais d’amitié.",DC0515: Où cerchez-vous du dieu d'amour l'empire,36,S,,F,38,T,Authentic,F,None,CadInCad,None,F
"DC0515.7: M’amour les ha en son cœur gracieux,",DC0515: Où cerchez-vous du dieu d'amour l'empire,23,Ct,Displaced,C,25,T,Authentic,C+C,D+A,CAD NDLT+Authentic,Plagal+Phrygian,F
"DC0515.6: Et la ou sont de cupido les cieulx,",DC0515: Où cerchez-vous du dieu d'amour l'empire,19,T,Displaced,C,20,B,CAD NDLT,G+G+G,C+C+C+C,Authentic+Authentic+CadInCad,Authentic+CadInCad+CadInCad+Authentic,F
"DC0515.5: Voulez sçavoir les plaisantes retraictes,",DC0515: Où cerchez-vous du dieu d'amour l'empire,14,S,,G,15,T,Authentic,F+F,C+C,Authentic+Authentic,CAD NDLT+Authentic,F
"DC0515.2: Pour le trouver ne croyez auz poëtes,",DC0515: Où cerchez-vous du dieu d'amour l'empire,9,S,,F,10,T,Authentic,C+C+C,G+G+G,CAD NDLT+CAD NDLT+Authentic,Authentic+Authentic+CadInCad,F
"DC0515.1: Ou cerchez vous du dieu d’amour l’empire,",DC0515: Où cerchez-vous du dieu d'amour l'empire,5,Ct,Displaced,C,6,None,CAD NDLT,F,F+F,Authentic,Authentic+Authentic,F
"DC0514.8: Et jouissant du fruict de ma beaulté,",DC0514: Puisque tu veulx mettre fin à ta plaincte,31,None,,E,32,None,Plagal,G+G,None,Authentic+CAD NDLT,None,E
"DC0514.7: Ce qui fera que cessant ton martyre,",DC0514: Puisque tu veulx mettre fin à ta plaincte,25,Ct,Displaced,G,26,B,Authentic,A+A,E+E,Authentic+Authentic,Plagal+Plagal,E
"DC0514.6: Sera ton vueil, comme tu le desire,",DC0514: Puisque tu veulx mettre fin à ta plaincte,20,S,,A,21,T,Authentic,E,G+G,Phrygian,Authentic+CAD NDLT,E
"DC0514.2: Mettant du tout mon grand tort en oubli,",DC0514: Puisque tu veulx mettre fin à ta plaincte,10,S,,A,11,T,Authentic,C+C,E,Authentic+Authentic,Phrygian,E
"DC0514.1: Puis que tu veulx mettre fin à ta plaincte,",DC0514: Puisque tu veulx mettre fin à ta plaincte,5,S,,C,7,T,Authentic,None,A+A,None,Authentic+Authentic,E
"DC0513.8: Estre par vous et vostre cruaulté,",DC0513: Je ne veulx plus de mon malheur me plaindre,28,Ct,Displaced,E,29,B,Phrygian,C,None,Authentic,None,E
"DC0513.6: Triste et pensif, le reste de ma vie,",DC0513: Je ne veulx plus de mon malheur me plaindre,20,S,,A,22,T,Authentic,G+G,C+C,CAD NDLT+Authentic,Authentic+Authentic,E
DC0513.5: Le regret n’ayt pouvoir de me tenir,DC0513: Je ne veulx plus de mon malheur me plaindre,14,S,,C,15,T,Authentic,A+A,G+G,Authentic+Authentic,CAD NDLT+Authentic,E
