comment,other_contrapuntal,voices_p6_up,other_pres_type,phrase_number,voice_role_fifth,composition_number,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_role_cantz,cadence_alter,voice_role_fourth,other_formulas,voice_role_lo2_nim,cadence_final_tone,voice_role_up1_nim,voice_role_up2_nim,stop_measure,earlier_phrase,cadence_role_tenz,voices_p3_up,voice_role_un_oct,voice_role_dux2,voice_role_dux1,timestamp,voices_53_lo,repeat_exact_varied,analyst,voice_role_below,text_treatment,voices_53_up,voices_p3_lo,cadence_kind,voice_role_above,voice_role_com2,repeat_kind,voice_role_com1
,,None,None,DC0101.1: Qui souhaitez avoir tout le plaisir,None,DC0101: Qui souhaitez avoir tout le plaisir,None,1,None,None,,None,,None,None,None,None,1,None,None,None,None,None,None,11/07/2014 09:59:42,None,None,"Freedman, Richard",None,None,None,None,None,None,None,None,None
,,None,None,"DC0503.3: Par un matin my levay,",None,DC0503: Vous estes un fascheux homme,None,10,None,S,Displaced,None,,None,D,None,None,10,None,Ct,None,None,None,None,31/01/2014 08:26:00,None,None,"Freedman, Richard",None,None,None,None,NoCadence,None,None,None,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermeté,None,17,None,None,,None,,None,None,None,None,22,8,None,None,None,None,None,24/08/2013 17:25:47,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermeté,None,20,None,None,,None,,None,None,None,None,20,None,None,None,None,None,None,24/08/2013 17:25:22,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermeté,None,19,None,S,,None,,None,G,None,None,20,None,T,None,None,None,None,24/08/2013 17:24:56,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermeté,None,18,T,None,,None,,None,None,None,None,19,None,None,None,None,None,None,24/08/2013 17:24:27,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,HR Simple,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermeté,None,17,None,None,,None,,None,None,None,None,19,None,None,S,None,None,None,24/08/2013 17:24:05,B,None,"Bazinet, Genevieve",None,None,T,Ct,None,None,None,None,None
"Exception: Repeat starts with HR simple, not Stagger.",,None,None,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermeté,None,14,None,None,,None,,None,None,None,None,17,7,None,None,None,None,None,24/08/2013 17:22:43,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermeté,None,16,None,None,,None,,None,None,None,None,17,None,None,None,None,None,None,24/08/2013 17:22:00,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,HR Stagger,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermeté,None,14,None,None,,None,,None,None,None,None,17,None,None,S,None,None,None,24/08/2013 17:21:28,B,None,"Bazinet, Genevieve",None,None,T,Ct,None,None,None,None,None
