comment,other_contrapuntal,voices_p6_up,other_pres_type,phrase_number,voice_role_fifth,composition_number,voice_role_lo1_nim,start_measure,voices_p6_lo,cadence_role_cantz,cadence_alter,voice_role_fourth,other_formulas,voice_role_lo2_nim,cadence_final_tone,voice_role_up1_nim,voice_role_up2_nim,stop_measure,earlier_phrase,cadence_role_tenz,voices_p3_up,voice_role_un_oct,voice_role_dux2,voice_role_dux1,timestamp,voices_53_lo,repeat_exact_varied,analyst,voice_role_below,text_treatment,voices_53_up,voices_p3_lo,cadence_kind,voice_role_above,voice_role_com2,repeat_kind,voice_role_com1
,,None,None,DC0101.1: Qui souhaitez avoir tout le plaisir,None,DC0101: Qui souhaitez avoir tout le plaisir,None,1,None,None,,None,,None,None,None,None,1,None,None,None,None,None,None,11/7/14 9:59,None,None,"Freedman, Richard",None,None,None,None,None,None,None,None,None
,,None,None,"DC0503.3: Par un matin my levay,",None,DC0503: Vous estes un fascheux homme,None,10,None,S,Displaced,None,,None,D,None,None,10,None,Ct,None,None,None,None,31/01/2014 08:26:00,None,None,"Freedman, Richard",None,None,None,None,NoCadence,None,None,None,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermetÃ©,None,17,None,None,,None,,None,None,None,None,22,8,None,None,None,None,None,24/08/2013 17:25:47,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermetÃ©,None,20,None,None,,None,,None,None,None,None,20,None,None,None,None,None,None,24/08/2013 17:25:22,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermetÃ©,None,19,None,S,,None,,None,G,None,None,20,None,T,None,None,None,None,24/08/2013 17:24:56,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermetÃ©,None,18,T,None,,None,,None,None,None,None,19,None,None,None,None,None,None,24/08/2013 17:24:27,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,HR Simple,DC0625.8: Dont nous serons plus contentz qu'eulx.,None,DC0625: Si je n'avois de fermetÃ©,None,17,None,None,,None,,None,None,None,None,19,None,None,S,None,None,None,24/08/2013 17:24:05,B,None,"Bazinet, Genevieve",None,None,T,Ct,None,None,None,None,None
"Exception: Repeat starts with HR simple, not Stagger.",,None,None,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermetÃ©,None,14,None,None,,None,,None,None,None,None,17,7,None,None,None,None,None,24/08/2013 17:22:43,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermetÃ©,None,16,None,None,,None,,None,None,None,None,17,None,None,None,None,None,None,24/08/2013 17:22:00,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,HR Stagger,"DC0625.7: Que nostre amour par moy se passe,",None,DC0625: Si je n'avois de fermetÃ©,None,14,None,None,,None,,None,None,None,None,17,None,None,S,None,None,None,24/08/2013 17:21:28,B,None,"Bazinet, Genevieve",None,None,T,Ct,None,None,None,None,None
,,None,None,"DC0625.6: Ami perfaict plus que les dieux,",None,DC0625: Si je n'avois de fermetÃ©,None,13,None,S,,None,,None,A,None,None,14,None,T,None,None,None,None,24/08/2013 17:20:34,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0625.6: Ami perfaict plus que les dieux,",None,DC0625: Si je n'avois de fermetÃ©,None,11,T,None,,None,,None,None,None,None,13,None,None,None,None,None,None,24/08/2013 17:19:50,B,None,"Bazinet, Genevieve",None,None,T,None,None,None,None,None,None
,,None,HR Simple,"DC0625.6: Ami perfaict plus que les dieux,",None,DC0625: Si je n'avois de fermetÃ©,None,12,None,None,,None,,None,None,None,None,12,None,None,None,None,None,None,24/08/2013 17:19:13,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0625.5: Mais ne fault point que doubte on face,",None,DC0625: Si je n'avois de fermetÃ©,None,10,None,None,,None,,None,D,None,None,10,None,None,None,None,None,None,24/08/2013 17:18:42,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,HR Simple,"DC0625.5: Mais ne fault point que doubte on face,",None,DC0625: Si je n'avois de fermetÃ©,None,8,T,None,,None,,None,None,None,None,10,None,None,S,None,None,None,24/08/2013 17:18:10,B,None,"Bazinet, Genevieve",None,None,Ct,Ct,None,None,None,None,None
,,None,None,DC0625.4: Car d'aimer bien serois tost lasse ,None,DC0625: Si je n'avois de fermetÃ©,None,4,None,None,,None,,None,None,None,None,7,2,None,None,None,None,None,24/08/2013 17:17:32,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0625.3: Vostre heur seroit mal arrestÃ©,",None,DC0625: Si je n'avois de fermetÃ©,None,1,None,None,,None,,None,None,None,None,3,1,None,None,None,None,None,24/08/2013 17:17:10,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0625.2: Non plus que j'ay de bonne grace,",None,DC0625: Si je n'avois de fermetÃ©,None,7,None,None,,None,,None,None,None,None,7,None,None,None,None,None,None,24/08/2013 17:16:49,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,"DC0625.2: Non plus que j'ay de bonne grace,",None,DC0625: Si je n'avois de fermetÃ©,None,6,None,S,,None,,None,G,None,None,7,None,T,None,None,None,None,24/08/2013 17:16:28,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,HR Simple,"DC0625.1: Si je n'avois de fermetÃ©,",None,DC0625: Si je n'avois de fermetÃ©,None,1,None,None,,None,,None,None,None,None,3,None,None,None,None,None,None,24/08/2013 17:15:55,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,S,HR Simple,"DC0625.2: Non plus que j'ay de bonne grace,",None,DC0625: Si je n'avois de fermetÃ©,None,4,T,None,,None,,None,None,None,None,6,None,None,S,None,None,None,24/08/2013 17:15:33,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,"DC0625.1: Si je n'avois de fermetÃ©,",None,DC0625: Si je n'avois de fermetÃ©,None,2,None,T,"Displaced, Inverted, Evaded",None,,None,C,None,None,3,None,Ct,None,None,None,None,24/08/2013 17:14:50,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0625.1: Si je n'avois de fermetÃ©,",None,DC0625: Si je n'avois de fermetÃ©,None,1,T,None,,None,,None,None,None,None,3,None,None,None,None,None,None,24/08/2013 17:14:10,B,None,"Bazinet, Genevieve",None,None,T,None,None,None,None,None,None
,,None,None,DC0624.10: Par ton amour si fais cesser la mienne.,None,DC0624: Si tu as veu que pour ton feu estaindre,None,36,None,None,,None,,None,None,None,None,44,10,None,None,None,None,None,24/08/2013 17:12:24,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0624.10: Par ton amour si fais cesser la mienne.,None,DC0624: Si tu as veu que pour ton feu estaindre,None,42,None,S,,None,,None,G,None,None,43,None,T,None,None,None,None,24/08/2013 17:11:22,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,DC0624.10: Par ton amour si fais cesser la mienne.,None,DC0624: Si tu as veu que pour ton feu estaindre,None,38,None,None,,None,,None,None,None,None,39,None,None,S,None,None,None,24/08/2013 17:10:54,None,None,"Bazinet, Genevieve",None,None,None,B,None,None,None,None,None
,,None,None,DC0624.10: Par ton amour si fais cesser la mienne.,None,DC0624: Si tu as veu que pour ton feu estaindre,None,36,None,None,,None,,None,None,None,None,38,None,None,None,None,None,None,24/08/2013 17:09:53,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0624.9: Et si par eaue j'ay secouru ta flamme,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,32,None,None,,None,,None,None,None,None,38,9,None,None,None,None,None,24/08/2013 17:09:39,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"DC0624.9: Et si par eaue j'ay secouru ta flamme,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,36,None,None,,None,,None,None,None,None,38,None,None,None,None,None,None,24/08/2013 17:09:18,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,FI,"DC0624.9: Et si par eaue j'ay secouru ta flamme,",S,DC0624: Si tu as veu que pour ton feu estaindre,None,32,None,None,,None,,None,None,None,None,33,None,None,None,None,None,T,24/08/2013 17:09:00,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,S
,,None,HR Stagger,"DC0624.9: Et si par eaue j'ay secouru ta flamme,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,32,None,None,,None,,None,None,None,None,33,None,None,None,None,None,None,24/08/2013 17:08:33,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,26,None,None,,None,,None,None,None,None,32,8,None,None,None,None,None,24/08/2013 17:08:00,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
Ct leaps down a fifth instead of resolving to C.,,None,None,"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,31,None,T,"Displaced, Inverted, Evaded",None,,None,C,None,None,32,None,Ct,None,None,None,None,24/08/2013 17:07:32,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
"Text declamation through repetition on ""pour Dieu.""",,None,None,"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,28,None,None,,None,,None,None,None,None,30,None,None,None,None,None,None,24/08/2013 17:05:59,None,None,"Bazinet, Genevieve",None,Text Declamation,None,None,None,None,None,None,None
,,None,HR Simple,"DC0624.8: C'est pour t'aimer pour Dieu il t'en souvienne,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,27,None,None,,None,,None,None,None,None,28,None,None,None,None,None,None,24/08/2013 17:05:13,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
Exception: final note in the repeat is shorter (bar 26),,None,None,DC0624.7: Las ce qu'il faict ardre mon feu (madame),None,DC0624: Si tu as veu que pour ton feu estaindre,None,22,None,None,,None,,None,None,None,None,26,6,None,None,None,None,None,24/08/2013 17:04:44,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0624.6: Qui ne penetre au plus profond de l'ame,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,21,None,None,,None,,None,G,None,None,21,None,None,None,None,None,None,24/08/2013 17:03:50,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,S,None,"DC0624.6: Qui ne penetre au plus profond de l'ame,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,19,T,None,,None,,None,None,None,None,21,None,None,None,None,None,None,24/08/2013 17:03:00,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0624.6: Qui ne penetre au plus profond de l'ame,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,18,None,None,,None,,None,None,None,None,21,None,None,None,None,None,None,24/08/2013 17:02:40,B,None,"Bazinet, Genevieve",None,None,Ct,None,None,None,None,None,None
,,None,None,"DC0624.6: Qui ne penetre au plus profond de l'ame,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,18,None,None,,None,,None,None,None,None,22,None,None,S,None,None,None,24/08/2013 17:02:19,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,HR Simple,"DC0624.6: Qui ne penetre au plus profond de l'ame,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,17,None,None,,None,,None,None,None,None,20,None,None,None,None,None,None,24/08/2013 17:01:48,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0624.5: D'aultre costÃ© ne puis remede avoir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,16,None,None,,None,,None,None,None,None,17,None,None,None,None,None,None,24/08/2013 17:01:15,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,FI,"DC0624.5: D'aultre costÃ© ne puis remede avoir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,12,None,None,,None,,None,None,None,None,13,None,None,None,S,None,Ct,24/08/2013 17:00:03,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,S
,,None,None,"DC0624.4: Et Ã  ce feu qui me brusle pour voir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,5,None,None,,None,,None,None,None,None,12,2,None,None,None,None,None,24/08/2013 16:59:16,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
"Exception: in the repeat (Phrase 3)the opening ID is preceded by an entry of the soggetto in the Ct, bar 9-10.",,None,None,"DC0624.3: N'as tu pas donc grand raison de me plaindre,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,1,None,None,,None,,None,None,None,None,6,1,None,None,None,None,None,24/08/2013 16:58:54,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0624.2: Je me suis mis comme ami en debvoir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,9,None,T,"Inverted, Evaded",None,,None,C,None,None,10,None,S,None,None,None,None,24/08/2013 16:55:39,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,FI,"DC0624.2: Je me suis mis comme ami en debvoir,",T,DC0624: Si tu as veu que pour ton feu estaindre,None,7,None,None,,None,,None,None,None,None,8,None,None,None,None,None,B,24/08/2013 16:54:20,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,None,"DC0624.2: Je me suis mis comme ami en debvoir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,6,None,None,,None,,None,None,None,None,7,None,None,S,None,None,None,24/08/2013 16:53:54,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,"DC0624.2: Je me suis mis comme ami en debvoir,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,5,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,24/08/2013 16:53:28,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0624.1: Si tu as veu que pour ton feu estaindre,",None,DC0624: Si tu as veu que pour ton feu estaindre,None,5,None,None,,None,,None,None,None,None,6,None,None,None,None,None,None,24/08/2013 16:53:12,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,Stretto Fuga,None,ID,"DC0624.1: Si tu as veu que pour ton feu estaindre,",T,DC0624: Si tu as veu que pour ton feu estaindre,None,1,None,None,,None,,None,None,None,None,4,None,None,None,None,Ct,B,24/08/2013 16:52:43,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,S,None,T
,,None,None,DC0623.7: En amitiÃ© est tout mon Dieu ,None,DC0623: Vous souvient-il ; ma mignonne,None,22,None,None,,None,,None,None,None,None,26,7,None,None,None,None,None,24/08/2013 16:45:18,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0623.8: Mais la vostre est par peur estaincte.,None,DC0623: Vous souvient-il ; ma mignonne,None,25,None,None,,None,,None,None,None,None,31,8,None,None,None,None,None,24/08/2013 16:44:17,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0623.8: Mais la vostre est par peur estaincte.,None,DC0623: Vous souvient-il ; ma mignonne,None,29,None,S,,None,,None,G,None,None,30,None,T,None,None,None,None,24/08/2013 16:43:53,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,None,DC0623.8: Mais la vostre est par peur estaincte.,None,DC0623: Vous souvient-il ; ma mignonne,None,27,None,None,,None,,None,None,None,None,28,None,None,None,None,None,None,24/08/2013 16:43:13,T,None,"Bazinet, Genevieve",None,None,S,None,None,None,None,None,None
,,None,FI,DC0623.8: Mais la vostre est par peur estaincte.,None,DC0623: Vous souvient-il ; ma mignonne,None,25,None,None,,None,,None,None,None,None,27,None,None,None,B,None,Ct,24/08/2013 16:42:39,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,B
,,None,None,DC0623.8: Mais la vostre est par peur estaincte.,None,DC0623: Vous souvient-il ; ma mignonne,None,25,None,None,,None,,None,None,None,None,26,None,None,None,None,None,None,24/08/2013 16:42:03,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,DC0623.7: En amitiÃ© est tout mon Dieu ,None,DC0623: Vous souvient-il ; ma mignonne,None,25,None,None,,None,,None,None,None,None,26,None,None,None,None,None,None,24/08/2013 16:41:27,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,S,None,DC0623.7: En amitiÃ© est tout mon Dieu ,None,DC0623: Vous souvient-il ; ma mignonne,None,24,T,None,,None,,None,None,None,None,25,None,None,None,None,None,None,24/08/2013 16:40:54,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,DC0623.7: En amitiÃ© est tout mon Dieu ,None,DC0623: Vous souvient-il ; ma mignonne,None,23,None,None,,None,,None,None,None,None,24,None,None,S,None,None,None,24/08/2013 16:40:32,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,HR Simple,DC0623.7: En amitiÃ© est tout mon Dieu ,None,DC0623: Vous souvient-il ; ma mignonne,None,22,None,None,,None,,None,None,None,None,24,None,None,None,None,None,None,24/08/2013 16:40:06,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0623.6: Que mâ€™avez desrobbÃ© ma crainte,",None,DC0623: Vous souvient-il ; ma mignonne,None,20,None,S,,None,,None,C,None,None,21,None,T,None,None,None,None,24/08/2013 16:39:32,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,S,None,"DC0623.6: Que mâ€™avez desrobbÃ© ma crainte,",None,DC0623: Vous souvient-il ; ma mignonne,None,18,T,None,,None,,None,None,None,None,19,None,None,None,None,None,None,24/08/2013 16:38:52,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0623.6: Que mâ€™avez desrobbÃ© ma crainte,",None,DC0623: Vous souvient-il ; ma mignonne,None,18,None,None,,None,,None,None,None,None,18,None,None,S,None,None,None,24/08/2013 16:38:32,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,HR Stagger,"DC0623.6: Que mâ€™avez desrobbÃ© ma crainte,",None,DC0623: Vous souvient-il ; ma mignonne,None,17,None,None,,None,,None,None,None,None,19,None,None,None,None,None,None,24/08/2013 16:38:06,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0623.6: Que mâ€™avez desrobbÃ© ma crainte,",None,DC0623: Vous souvient-il ; ma mignonne,None,17,None,None,,None,,None,None,None,None,18,None,None,None,None,None,None,24/08/2013 16:37:32,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0623.5: Maintenant vous puis dire au lieu,",None,DC0623: Vous souvient-il ; ma mignonne,None,17,None,None,,None,,None,None,None,None,18,None,None,None,None,None,None,24/08/2013 16:37:12,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,HR Simple,"DC0623.5: Maintenant vous puis dire au lieu,",None,DC0623: Vous souvient-il ; ma mignonne,None,15,None,None,,None,,None,None,None,None,17,None,None,None,None,None,None,24/08/2013 16:36:46,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,DC0623.4: Toy de craincte as plus que de feu ,None,DC0623: Vous souvient-il ; ma mignonne,None,11,None,None,,None,,None,None,None,None,15,2,None,None,None,None,None,24/08/2013 16:36:23,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0623.3: Pour tâ€™aimer je ne crains personne,",None,DC0623: Vous souvient-il ; ma mignonne,None,8,None,None,,None,,None,None,None,None,11,1,None,None,None,None,None,24/08/2013 16:35:56,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0623.3: Pour tâ€™aimer je ne crains personne,",None,DC0623: Vous souvient-il ; ma mignonne,None,8,None,None,,None,,None,None,None,None,8,None,None,None,None,None,None,24/08/2013 16:35:29,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,"DC0623.2: Quâ€™un jour me reprouchiez par jeu,",None,DC0623: Vous souvient-il ; ma mignonne,None,6,None,S,,None,,None,G,None,None,7,None,T,None,None,None,None,24/08/2013 16:34:22,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,FI,"DC0623.2: Quâ€™un jour me reprouchiez par jeu,",None,DC0623: Vous souvient-il ; ma mignonne,None,4,None,None,,None,,None,None,None,None,6,None,None,None,T,None,S,24/08/2013 16:33:58,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,None,"DC0623.1: Vous souvient il point ma mignonne,",None,DC0623: Vous souvient-il ; ma mignonne,None,3,None,None,,None,,None,D,None,None,4,None,None,None,None,None,None,24/08/2013 16:33:25,None,None,"Bazinet, Genevieve",None,None,None,None,Plagal,None,None,None,None
,,None,None,"DC0623.1: Vous souvient il point ma mignonne,",None,DC0623: Vous souvient-il ; ma mignonne,None,1,None,None,,None,,None,None,None,None,3,None,None,S,None,None,None,24/08/2013 16:33:03,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,HR Stagger,"DC0623.1: Vous souvient il point ma mignonne,",None,DC0623: Vous souvient-il ; ma mignonne,None,1,None,None,,None,,None,None,None,None,3,None,None,S,None,None,None,24/08/2013 16:31:53,None,None,"Bazinet, Genevieve",None,None,None,Ct,None,None,None,None,None
,,None,None,DC0622.8: Et pour servir on hait la libertÃ©.,None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,33,None,None,,None,,None,None,None,None,38,8,None,None,None,None,None,24/08/2013 16:30:34,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,DC0622.8: Et pour servir on hait la libertÃ©.,None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,36,None,S,,None,,None,G,None,None,37,None,T,None,None,None,None,24/08/2013 16:30:12,None,None,"Bazinet, Genevieve",None,None,None,None,Authentic,None,None,None,None
,,None,HR Stagger,DC0622.8: Et pour servir on hait la libertÃ©.,None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,33,None,None,,None,,None,None,None,None,35,None,None,None,None,None,None,24/08/2013 16:29:43,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,DC0622.8: Et pour servir on hait la libertÃ©.,None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,33,None,None,,None,,None,None,None,None,34,None,None,None,None,None,None,24/08/2013 16:29:11,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,None
,,None,None,"DC0622.7: Dire ainsi fault quand pour estre Ã  un aultre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,30,None,None,,None,,None,None,None,None,34,7,None,None,None,None,None,24/08/2013 16:28:49,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Final Repeat,None
,,None,None,"DC0622.7: Dire ainsi fault quand pour estre Ã  un aultre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,33,None,None,,None,,None,None,None,None,34,None,None,None,None,None,None,24/08/2013 16:28:23,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,FI,"DC0622.7: Dire ainsi fault quand pour estre Ã  un aultre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,29,None,None,,None,,None,None,None,None,31,None,None,None,T,None,S,24/08/2013 16:27:52,None,None,"Bazinet, Genevieve",None,Text Overlap,None,None,None,None,None,None,T
,,None,None,"DC0622.6: O sur tout bien doulce captivitÃ©,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,29,None,None,,None,,None,None,None,None,31,None,None,None,None,None,None,24/08/2013 16:26:24,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,,None,FI,"DC0622.6: O sur tout bien doulce captivitÃ©,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,27,None,None,,None,,None,None,None,None,28,None,None,None,T,None,S,24/08/2013 16:23:39,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,HR Simple,"DC0622.6: O sur tout bien doulce captivitÃ©,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,25,None,None,,None,,None,None,None,None,27,None,None,None,None,None,None,24/08/2013 16:22:59,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,None
,,None,None,"DC0622.6: O sur tout bien doulce captivitÃ©,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,25,None,None,,None,,None,None,None,None,25,None,None,None,None,None,None,24/08/2013 16:22:31,None,None,"Bazinet, Genevieve",None,Text Declamation,None,None,None,None,None,None,None
,,None,None,"DC0622.5: Jusques au ciel tout le monde estre nostre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,24,None,None,,None,,None,None,None,None,24,None,None,None,None,None,None,24/08/2013 16:22:02,None,None,"Bazinet, Genevieve",None,Text Pause,None,None,None,None,None,None,None
,,None,None,"DC0622.5: Jusques au ciel tout le monde estre nostre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,23,None,None,,None,,None,None,None,None,24,None,None,None,None,None,None,24/08/2013 16:21:30,None,None,"Bazinet, Genevieve",None,None,None,None,NoCadence,None,None,None,None
,Stretto Fuga,None,PEn Tonal,"DC0622.5: Jusques au ciel tout le monde estre nostre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,21,None,None,,None,,None,None,None,None,22,None,None,None,T,S,B,24/08/2013 16:21:00,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,T
,,None,FI,"DC0622.5: Jusques au ciel tout le monde estre nostre,",S,DC0622: Je suys a vous mais sÃ§avez vous comment,None,18,None,None,,None,,None,None,None,None,19,None,None,None,None,None,T,24/08/2013 16:20:01,None,None,"Bazinet, Genevieve",None,None,None,None,None,None,None,None,S
Exception: The final note of the cadence is shorter in the repeat (bar 18),,None,None,"DC0622.4: Que si veois par Sainct Pierre l'apostre,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,13,None,None,,None,,None,None,None,None,18,2,None,None,None,None,None,24/08/2013 16:19:17,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
,,None,None,"DC0622.3: Et me contente ainsi non aultrement,",None,DC0622: Je suys a vous mais sÃ§avez vous comment,None,9,None,None,,None,,None,None,None,None,13,1,None,None,None,None,None,24/08/2013 16:18:09,None,Exact,"Bazinet, Genevieve",None,None,None,None,None,None,None,Direct Repeat,None
