composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0414: Je voudrois ce gentil clerc estre,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None+S,S+Ct,Ct+S,None,None,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,None,None,C+F,F+F,F+C,None,None,None,None,None,None,None,None+T,T+B,B+T,None,None,None,None,None,None,None,C,4
DC0504: Quand j'ay esté quinze heures avec vous,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,None,None,Ct+S,S+B,B+,None,None,None,None,None,None,None,"Displaced, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,None,None,G+B-flat,B-flat+D,D+G,None,None,None,None,None,None,None,B+T,T+T,T+,None,None,None,None,None,None,None,G,4
DC0611: Sur l'aubépin qui est en fleur,Authentic+Phrygian,Phrygian+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+Ct,Ct+None,None+None,None+S,None,None,None,None,None,None,None+Displaced,Displaced+None,None+None,None+None,None,None,None,None,None,None,D+D,D+C,C+C,C+D,None,None,None,None,None,None,T+B,B+None,None+None,None+T,None,None,None,None,None,None,D,5
DC0926: Ne vous faschez si me voyez jaloux,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,None,None+None,None+Evaded,Evaded+Displaced,Displaced+None,None,None,None,None,None,None,C+G,G+C,C+C,C+G,None,None,None,None,None,None,T+T,T+T,T+T,T+T,None,None,None,None,None,None,G,5
DC0520: Quelque yvrongne de par le monde,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,None,None,None,None,None,T+S,S+Ct,Ct+S,S+T,T+T,None,None,None,None,None,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Incomplete",Incomplete+Displaced,"Displaced+Displaced, Evaded",None,None,None,None,None,C+G,G+G,G+G,G+C,C+C,None,None,None,None,None,B+T,T+None,None+T,T+B,B+Ct,None,None,None,None,None,C,6
DC0625: Si je n'avois de fermeté,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,T+S,S+None,None+S,S+S,None,None,None,None,None,None,"Displaced, Inverted, Evaded+None",None+None,None+None,None+None,None,None,None,None,None,None,C+G,G+D,D+A,A+G,None,None,None,None,None,None,Ct+T,T+None,None+T,T+T,None,None,None,None,None,None,G,5
DC0408: Amour se doibt figurer une rose,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,Ct+S,S+S,S+S,S+None,None+S,None,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,None,D+G,G+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,None+T,T+T,T+T,T+None,None+T,None,None,None,None,None,G,6
"DC0920: Dame excellente, en vertu bien apprise",Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CAD NDLT,None,None,None,None,None,None,T+S,S+Ct,Ct+B,B+Ct,None,None,None,None,None,None,Displaced+None,None+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+Displaced",None,None,None,None,None,None,C+G,G+G,G+C,C+C,None,None,None,None,None,None,B+T,T+B,B+T,T+B,None,None,None,None,None,None,C,5
DC0516: Il est permis trouver au lict s'amie,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,T+B,B+S,S+S,None,None,None,None,None,None,None,"Displaced, Inverted, Evaded+Displaced, Inverted","Displaced, Inverted+None",None+None,None,None,None,None,None,None,None,C+C,C+G,G+F,None,None,None,None,None,None,None,Ct+Ct,Ct+T,T+T,None,None,None,None,None,None,None,F,4
DC0403: Prendre plaisir en aymant loyaulment,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,S+S,S+S,S+T,T+S,S+S,S+S,None,None,None,None,Evaded+None,None+None,None+Inverted,Inverted+None,None+None,None+None,None,None,None,None,D+G,G+G,G+G,G+D,D+D,D+G,None,None,None,None,T+T,T+T,T+S,S+T,T+T,T+T,None,None,None,None,G,7
