composition_number,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_kind,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_role_cantz,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_alter,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_final_tone,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,cadence_role_tenz,final_cadence,piece_length
DC0525: Recepte pour un flux de bourse,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Plagal,None,None,None,None,None,None,S+S,S+S,S+T,T+None,None,None,None,None,None,None,None+None,None+Displaced,"Displaced+Inverted, Evaded","Inverted, Evaded+None",None,None,None,None,None,None,G+C,C+C,C+C,C+G,None,None,None,None,None,None,T+T,T+Ct,Ct+S,S+None,None,None,None,None,None,None,C,5
DC0621: Un gay berger prioit une bergiere,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,S+S,S+S,S+None,None+S,None,None,None,None,None,None,None+None,None+None,None+None,None+None,None,None,None,None,None,None,G+G,G+G,G+G,G+G,None,None,None,None,None,None,T+T,T+T,T+None,None+T,None,None,None,None,None,None,G,5
DC0710: Quelqu'un me disoit l'aultre jour,CadInCad+Plagal,Plagal+Plagal,Plagal+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,S+None,None+None,None+None,None+None,None+S,None,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,None,D+D,D+G,G+G,G+D,D+G,None,None,None,None,None,T+None,None+None,None+None,None+None,None+T,None,None,None,None,None,G,6
DC0222: Margot s'endormit sur un lict,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,Ct+Ct,Ct+S,S+None,None+S,S+S,S+Ct,Ct+None,None+S,S+S,None,Incomplete+Displaced,Displaced+None,None+None,None+None,None+None,None+Displaced,Displaced+None,None+None,None+None,None,F+F,F+F,F+D,D+C,C+F,F+D,D+F,F+F,F+F,None,None+T,T+T,T+None,None+T,T+T,T+T,T+None,None+T,T+T,None,F,10
DC0106: L'enfant Amour n'a plus son arc estrangé,Authentic+Authentic,Authentic+Phrygian,Phrygian+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,S+T,T+Ct,Ct+S,S+S,S+S,None,None,None,None,None,None+Displaced,Displaced+Displaced,Displaced+None,None+None,None+None,None,None,None,None,None,B-flat+B-flat,B-flat+D,D+A,A+D,D+G,None,None,None,None,None,T+B,B+B,B+T,T+T,T+T,None,None,None,None,None,G,6
"DC0717: Petite damoyselle, Amour donnez lieu",Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,S+None,None+S,S+S,S+None,None+S,None,None,None,None,None,Evaded+None,None+Displaced,Displaced+None,None+None,None+None,None,None,None,None,None,C+D,D+B-flat,B-flat+D,D+D,D+G,None,None,None,None,None,T+None,None+Ct,Ct+T,T+None,None+T,None,None,None,None,None,G,6
"DC0223: La terre, l'eau, l'air, le feu et les cieulx",Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,None,None,None,None,None,S+S,S+None,None+Ct,Ct+T,T+None,None,None,None,None,None,Incomplete+None,None+None,None+Displaced,Displaced+Displaced,Displaced+None,None,None,None,None,None,F+F,F+A,A+F,F+F,F+F,None,None,None,None,None,None+T,T+None,None+B,B+B,B+None,None,None,None,None,None,F,6
DC0405: La grant doulceur de vostre cler visaige,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Phrygian,Phrygian+Authentic,None,None,None,None,None,S+S,S+,+None,None+Ct,Ct+S,None,None,None,None,None,None+None,None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,B-flat+G,G+D,D+G,G+D,D+G,None,None,None,None,None,T+T,T+,+None,None+B,B+T,None,None,None,None,None,B-flat,6
"DC0116: Maistre Ambrelin, confesseur de nonettes",Plagal+Plagal,Plagal+Phrygian,Phrygian+CadInCad,CadInCad+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None+None,None+B,B+T,T+None,None+B,B+S,S+S,None,None,None,None+None,"None+Displaced, Inverted","Displaced, Inverted+Displaced, Incomplete","Displaced, Incomplete+None","None+Displaced, Inverted","Displaced, Inverted+Displaced, Evaded","Displaced, Evaded+None",None,None,None,A+E,E+E,E+G,G+E,E+E,E+C,C+A,None,None,None,None+None,None+S,S+Ct,Ct+None,None+Ct,Ct+Ct,Ct+T,None,None,None,A,8
DC0912: Amour et moy avons faict accointance,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,Ct+S,S+T,T+S,S+T,T+S,S+S,S+T,None,None,None,Displaced+None,None+Displaced,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,"None+Displaced, Inverted, Evaded",None,None,None,D+G,G+B-flat,B-flat+B-flat,B-flat+D,D+G,G+D,D+G,None,None,None,B+T,T+B,B+T,T+Ct,Ct+T,T+T,T+Ct,None,None,None,G,8
DC0704: Mon ami est en grace si parfaict,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,None,None,None,None,None,None,None,T+S,S+S,S+Ct,None,None,None,None,None,None,None,"Displaced, Inverted, Evaded+None",None+Incomplete,Incomplete+Displaced,None,None,None,None,None,None,None,D+G,G+G,G+D,None,None,None,None,None,None,None,Ct+T,T+T,T+B,None,None,None,None,None,None,None,D,4
DC0318: Ung doulx baiser m'est bien permis de prendre,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+Ct,Ct+S,None,None,None,None,None,None,None,None,Evaded+Displaced,Displaced+None,None,None,None,None,None,None,None,None,F+C,C+F,None,None,None,None,None,None,None,None,T+T,T+T,None,None,None,None,None,None,None,None,F,3
"DC0519: Si je te voy, qui est ce que desire",Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,None,None+T,T+None,None+Ct,Ct+S,None,None,None,None,None,None,"None+Displaced, Inverted","Displaced, Inverted+None",None+Displaced,Displaced+None,None,None,None,None,None,None,E+C,C+C,C+C,C+C,None,None,None,None,None,None,None+B,B+None,None+B,B+T,None,None,None,None,None,None,C,5
DC0316: Comme le feu sans chaleur ne peut estre,CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+S,S+Ct,Ct+None,None+T,T+S,S+S,S+S,None,None,None,None+None,"None+Displaced, Incomplete, Evaded","Displaced, Incomplete, Evaded+Displaced, Incomplete","Displaced, Incomplete+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None+None,None,None,None,F+F,F+F,F+F,F+F,F+F,F+F,F+F,None,None,None,T+T,T+None,None+B,B+Ct,Ct+T,T+T,T+T,None,None,None,F,8
DC0418: Si vous l'avez rendez le moy,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+S,S+S,None,None,None,None,None,None,None,None,"None+Displaced, Evaded","Displaced, Evaded+None",None,None,None,None,None,None,None,None,F+C,C+F,None,None,None,None,None,None,None,None,T+Ct,Ct+T,None,None,None,None,None,None,None,None,C,3
"DC0910: Mais dont vient que vous, damoyselles",Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Plagal,Plagal+Authentic,None,None,None,None+S,S+S,S+S,S+T,T+B,B+None,None+S,None,None,None,None+None,None+None,None+None,None+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+None",None+None,None,None,None,D+G,G+D,D+B-flat,B-flat+B-flat,B-flat+D,D+B-flat,B-flat+G,None,None,None,None+T,T+T,T+T,T+B,B+Ct,Ct+None,None+T,None,None,None,G,8
DC0711: Cent baysers au departir,Phrygian+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Plagal,None,None,None,None,None,B+B,B+S,S+S,S+S,S+None,None,None,None,None,None,"Displaced, Inverted+Displaced, Inverted","Displaced, Inverted+None",None+None,None+None,None+None,None,None,None,None,None,D+D,D+G,G+D,D+A,A+D,None,None,None,None,None,Ct+Ct,Ct+T,T+T,T+T,T+None,None,None,None,None,None,D,6
DC0304: Poste esgaré par trop adventureux,CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+S,S+T,T+Ct,Ct+Ct,Ct+B,B+T,T+S,None,None,None,None+None,"None+Displaced, Incomplete","Displaced, Incomplete+Displaced",Displaced+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+Displaced, Incomplete","Displaced, Incomplete+None",None,None,None,A+D,D+A,A+A,A+C,C+A,A+A,A+D,None,None,None,T+T,T+None,None+B,B+B,B+Ct,Ct+None,None+T,None,None,None,D,8
DC0513: Je ne veulx plus de mon malheur me plaindre,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,None,None,None,None,None,T+S,S+S,S+S,S+T,T+Ct,None,None,None,None,None,"Displaced, Inverted, Evaded+None",None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced",None,None,None,None,None,C+A,A+C,C+A,A+C,C+E,None,None,None,None,None,Ct+T,T+T,T+T,T+Ct,Ct+B,None,None,None,None,None,E,6
DC0916: Au joly bocquet croist la violette,Authentic+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,S+T,T+None,None+B,B+S,S+S,None,None,None,None,None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+None",None+None,None,None,None,None,None,G+D,D+G,G+A,A+G,G+G,None,None,None,None,None,T+Ct,Ct+None,None+S,S+T,T+T,None,None,None,None,None,G,6
DC0503: Vous estes un fascheux homme,Authentic+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,S+T,T+None,None+B,B+T,T+,+T,T+S,S+None,None+Ct,Ct+S,"None+Inverted, Displaced, Evaded","Inverted, Displaced, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+Displaced",Displaced+None,"None+Displaced, Inverted","Displaced, Inverted+None",None+None,"None+Inverted, Evaded, Displaced","Inverted, Evaded, Displaced+None",G+D,D+F,F+A,A+B-flat,B-flat+G,G+D,D+D,D+D,D+G,G+G,T+Ct,Ct+None,None+S,S+B,B+,+Ct,Ct+T,T+None,None+S,S+T,G,11
DC0917: Amour voyant le travail soucieux,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+S,S+T,None,None,None,None,None,None,None,None,None+None,"None+Displaced, Inverted, Evaded",None,None,None,None,None,None,None,None,G+B-flat,B-flat+D,None,None,None,None,None,None,None,None,T+T,T+Ct,None,None,None,None,None,None,None,None,D,3
DC0511: Ce disoit une jeune dame,Phrygian+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,S+B,B+B,B+S,S+Ct,Ct+S,S+S,S+S,None,None,None,"Displaced+Inverted, Displaced","Inverted, Displaced+Displaced, Inverted","Displaced, Inverted+None","None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+Displaced,Displaced+None,None,None,None,A+None,None+D,D+B-flat,B-flat+G,G+D,D+A,A+G,None,None,None,B+Ct,Ct+T,T+T,T+S,S+T,T+B,B+T,None,None,None,G,8
DC0709: Je ly au cueur de m'amye,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,None,None+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,A+G,G+A,A+G,None,None,None,None,None,None,None,None+T,T+T,T+T,None,None,None,None,None,None,None,G,4
DC0313: Un jeune moine bien adroit,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,S+S,S+S,S+S,S+S,S+S,S+S,S+Ct,Ct+S,S+S,None,None+None,None+None,None+None,None+None,None+Displaced,Displaced+Displaced,"Displaced+Displaced, Inverted","Displaced, Inverted+None",None+None,None,D+G,G+D,D+B-flat,B-flat+D,D+D,D+D,D+G,G+D,D+G,None,T+T,T+T,T+T,T+T,T+Ct,Ct+Ct,Ct+S,S+T,T+T,None,G,10
DC0622: Je suys a vous mais sçavez vous comment,Authentic+Authentic,None,None,None,None,None,None,None,None,None,S+S,None,None,None,None,None,None,None,None,None,None+None,None,None,None,None,None,None,None,None,None,G+G,None,None,None,None,None,None,None,None,None,T+T,None,None,None,None,None,None,None,None,None,G,2
DC0108: Vive sera pour jamais n'estre morte,Plagal+Authentic,Authentic+Phrygian,Phrygian+CadInCad,None,None,None,None,None,None,None,Ct+T,T+S,S+S,None,None,None,None,None,None,None,"Displaced+Displaced, Inverted, Incomplete","Displaced, Inverted, Incomplete+None",None+None,None,None,None,None,None,None,None,D+B-flat,B-flat+A,A+D,None,None,None,None,None,None,None,B+Ct,Ct+T,T+T,None,None,None,None,None,None,None,D,4
DC0416: Passant melancolie,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,None,S+None,None+S,None,None,None,None,None,None,None,None,None+None,None+None,None,None,None,None,None,None,None,None,F+G,G+C,None,None,None,None,None,None,None,None,T+None,None+,None,None,None,None,None,None,None,None,C,3
DC0308: Faire ne puis sans dueil & desplaisir,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Phrygian,Phrygian+Phrygian,Phrygian+Authentic,None,None,None,Ct+S,S+S,S+S,S+S,S+Ct,Ct+Ct,Ct+S,None,None,None,Displaced+None,None+None,None+None,None+None,None+Displaced,Displaced+Displaced,Displaced+None,None,None,None,D+G,G+B-flat,B-flat+A,A+G,G+D,D+D,D+G,None,None,None,B+T,T+T,T+T,T+T,T+B,B+B,B+T,None,None,None,G,8
DC0714: De ceans jusque chez m'amye,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,Authentic+Authentic,None,None,None,None,None,None,S+S,S+T,T+S,S+S,None,None,None,None,None,None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,None,None,None,None,D+G,G+D,D+B-flat,B-flat+G,None,None,None,None,None,None,T+T,T+Ct,Ct+T,T+T,None,None,None,None,None,None,G,5
DC0216: Allons aux champs sur la verdure,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,B+S,S+None,None+S,S+B,B+S,None,None,None,None,None,"Displaced, Inverted+Incomplete","Incomplete+Displaced, Incomplete","Displaced, Incomplete+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,F+F,F+F,F+C,C+C,C+F,None,None,None,None,None,Ct+None,None+B,B+T,T+Ct,Ct+T,None,None,None,None,None,F,6
DC0725: Ce qu'il [=qui] me faict si aysément jaloux,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+CadInCad,CadInCad+Authentic,None,None,None,None,None,S+S,S+Ct,Ct+S,S+S,S+S,None,None,None,None,None,None+None,None+Displaced,Displaced+None,None+None,None+None,None,None,None,None,None,C+F,F+F,F+C,C+F,F+F,None,None,None,None,None,T+T,T+B,B+T,T+T,T+T,None,None,None,None,None,F,6
DC0420: Robin vouloit sa femme battre,Authentic+Phrygian,Phrygian+Plagal,Plagal+Authentic,None,None,None,None,None,None,None,S+S,S+,+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,G+E,E+G,G+G,None,None,None,None,None,None,None,T+T,T+,+T,None,None,None,None,None,None,None,G,4
DC0210: Or my doint Dieu bonne adventure,Authentic+CadInCad,CadInCad+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,None,S+S,S+,+S,None,None,None,None,None,None,None,None+None,"None+Displaced, Incomplete","Displaced, Incomplete+None",None,None,None,None,None,None,None,A+C,C+E,E+A,None,None,None,None,None,None,None,T+T,T+B,B+T,None,None,None,None,None,None,None,A,4
DC0226: Amour remply de pitié et de zelle,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,Ct+None,None+S,S+S,S+Ct,Ct+S,None,None,None,None,None,"Displaced, Incomplete+None",None+None,"None+Incomplete, Evaded","Incomplete, Evaded+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,C+D,D+G,G+G,G+D,D+G,None,None,None,None,None,None+None,None+T,T+T,T+S,S+T,None,None,None,None,None,G,6
DC0904: Si je cuidois (pour gemir et complaindre),CadInCad+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,T+S,S+S,S+S,S+Ct,Ct+S,None,None,None,None,None,"Displaced, Inverted, Incomplete, Evaded+None",None+None,None+None,None+Displaced,Displaced+None,None,None,None,None,None,D+G,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,B+T,T+T,T+T,T+B,B+T,None,None,None,None,None,G,6
DC0906: A ce matin d'un beau bouquet de rose,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,T+S,S+,+S,S+S,S+T,None,None,None,None,None,Displaced+None,None+None,None+None,None+None,"None+Displaced, Inverted, Evaded",None,None,None,None,None,D+G,G+A,A+B-flat,B-flat+D,D+D,None,None,None,None,None,B+T,T+,+T,T+T,T+Ct,None,None,None,None,None,D,6
DC0707: Or suis-je bien sur tous le miserable,Authentic+Authentic,Authentic+CadInCad,CadInCad+CadInCad,CadInCad+Authentic,Authentic+Authentic,None,None,None,None,None,T+S,S+S,S+S,S+T,T+S,None,None,None,None,None,"Displaced, Inverted+None",None+None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,D+G,G+D,D+B-flat,B-flat+D,D+G,None,None,None,None,None,Ct+T,T+T,T+T,T+Ct,Ct+T,None,None,None,None,None,G,6
DC0522: Qui diable nous a faict ces jours,Plagal+Plagal,Plagal+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None+None,None+None,None+Ct,Ct+S,S+T,T+T,T+,+S,None,None,None+None,None+None,None+None,"None+Displaced, Evaded","Displaced, Evaded+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,C+D,D+C,C+E,E+C,C+C,C+C,C+E,E+G,None,None,None+None,None+None,None+B,B+T,T+Ct,Ct+Ct,Ct+,+T,None,None,G,9
DC0213: Cupido pour ses appetitz vers des mouches alla,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,B+S,S+Ct,Ct+S,S+Ct,Ct+None,None+B,B+S,None,None,None,"Displaced, Inverted+None","None+Displaced, Doubtful","Displaced, Doubtful+None",None+None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,G+A,A+G,G+C,C+A,A+E,E+G,G+A,None,None,None,T+T,T+B,B+T,T+B,B+None,None+S,S+T,None,None,None,A,8
DC0925: C'est a grand tort qu'on dict que le penser,Authentic+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,None,None,None,None,None,Ct+S,S+Ct,Ct+None,None+T,T+S,None,None,None,None,None,Displaced+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None","None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,F+F,F+F,F+C,C+C,C+F,None,None,None,None,None,B+T,T+S,S+None,None+Ct,Ct+T,None,None,None,None,None,F,6
DC0616: Dieu doinct le bon jour à m'amye,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,Ct+S,S+S,None,None,None,None,None,None,None,None,Displaced+None,None+None,None,None,None,None,None,None,None,None,F+C,C+F,None,None,None,None,None,None,None,None,T+T,T+T,None,None,None,None,None,None,None,None,F,3
DC0315: Plus je la voy de beaucoup estimée,Authentic+Authentic,Authentic+Phrygian,None,None,None,None,None,None,None,None,S+S,S+S,None,None,None,None,None,None,None,None,None+None,None+None,None,None,None,None,None,None,None,None,G+B-flat,B-flat+A,None,None,None,None,None,None,None,None,T+T,T+T,None,None,None,None,None,None,None,None,A,3
DC0122: Amour et mort par trop grand avantage,Plagal+Authentic,Authentic+Plagal,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+CAD NDLT,CAD NDLT+Authentic,None,+S,S+None,None+Ct,Ct+S,S+S,S+Ct,Ct+S,S+Ct,Ct+S,None,None+None,None+None,None+Displaced,"Displaced+Displaced, Evaded","Displaced, Evaded+None","None+Displaced, Evaded","Displaced, Evaded+None",None+Displaced,Displaced+None,None,C+F,F+A,A+F,F+C,C+F,F+G,G+A,A+C,C+F,None,+T,T+None,None+T,T+Ct,Ct+T,T+T,T+T,T+B,B+T,None,F,10
DC0120: Si je me plains ce n'est sans apparence,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,S+S,S+T,T+S,None,None,None,None,None,None,None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,None,None,F+A,A+C,C+F,None,None,None,None,None,None,None,T+T,T+Ct,Ct+T,None,None,None,None,None,None,None,F,4
DC0225: Un forgeron aussi vieulx que le temps,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+S,S+Ct,Ct+S,S+Ct,Ct+S,S+T,T+S,None,None,None,None+None,None+Displaced,Displaced+None,"None+Displaced, Evaded","Displaced, Evaded+Displaced, Incomplete","Displaced, Incomplete+Displaced, Incomplete","Displaced, Incomplete+None",None,None,None,C+G,G+G,G+C,C+G,G+G,G+C,C+G,None,None,None,T+T,T+B,B+T,T+B,B+None,None+None,None+T,None,None,None,G,8
DC0712: Si je cognois que l'on ayme m'amye,Phrygian+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,Ct+S,S+S,S+S,S+T,T+S,None,None,None,None,None,Displaced+None,None+None,None+Displaced,Displaced+Displaced,Displaced+None,None,None,None,None,None,D+A,A+D,D+D,D+D,D+G,None,None,None,None,None,B+T,T+T,T+Ct,Ct+B,B+T,None,None,None,None,None,G,6
DC0307: Du jeu d'aymer Martin fort curieux,Authentic+Plagal,Plagal+Authentic,Authentic+Plagal,Plagal+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+None,None+S,S+None,None+Ct,Ct+S,S+T,T+S,None,None,None,"Displaced, Evaded+None",None+Incomplete,Incomplete+None,None+Displaced,Displaced+Displaced,"Displaced+Inverted, Evaded","Inverted, Evaded+None",None,None,None,B-flat+D,D+G,G+D,D+D,D+B-flat,B-flat+G,G+G,None,None,None,Ct+None,None+T,T+None,None+B,B+Ct,Ct+S,S+T,None,None,None,G,8
DC0114: Trop justement je forme une complainte,Authentic+Authentic,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,Authentic+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,S+S,S+T,T+Ct,Ct+S,S+T,T+S,S+S,None,None,None,None+None,None+Displaced,Displaced+None,None+None,"None+Displaced, Incomplete, Inverted","Displaced, Incomplete, Inverted+Displaced, Evaded","Displaced, Evaded+None",None,None,None,C+A,A+C,C+E,E+A,A+C,C+None,None+A,None,None,None,T+T,T+B,B+B,B+T,T+Ct,Ct+Ct,Ct+T,None,None,None,A,8
DC0605: Quand tant me mectz devant mes yeulx,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,None,None+S,S+B,B+S,None,None,None,None,None,None,None,None+None,"None+Displaced, Inverted","Displaced, Inverted+None",None,None,None,None,None,None,None,D+G,G+D,D+G,None,None,None,None,None,None,None,None+T,T+Ct,Ct+T,None,None,None,None,None,None,None,G,4
DC0618: Pour avoir fille en mariage,Authentic+Authentic,Authentic+Plagal,Plagal+Plagal,Plagal+Plagal,Plagal+Authentic,None,None,None,None,None,S+S,S+None,None+None,None+None,None+S,None,None,None,None,None,None+None,None+None,None+None,None+None,None+None,None,None,None,None,None,F+F,F+A,A+D,D+D,D+F,None,None,None,None,None,T+T,T+None,None+None,None+None,None+T,None,None,None,None,None,F,6
DC0602: Elle voyant approcher mon départ ,Plagal+Authentic,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,A+D,D+F,F+D,None,None,None,None,None,None,None,None+T,T+T,T+T,None,None,None,None,None,None,None,D,4
DC0721: J'ay baisé m'amye à mon aise,Authentic+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,None,T+S,S+S,S+S,None,None,None,None,None,None,None,"Displaced, Inverted, Evaded+None",None+None,None+None,None,None,None,None,None,None,None,C+F,F+A,A+C,None,None,None,None,None,None,None,Ct+T,T+T,T+T,None,None,None,None,None,None,None,C,4
DC0921: Ayant servy soubs faveur de l'attente,Authentic+Authentic,Authentic+Authentic,None,None,None,None,None,None,None,None,S+T,T+S,None,None,None,None,None,None,None,None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None,None,None,None,None,None,None,None,C+C,C+G,None,None,None,None,None,None,None,None,T+Ct,Ct+T,None,None,None,None,None,None,None,None,G,3
DC0601: Quand contremont voirras retourner loyre,Plagal+Authentic,Authentic+Phrygian,Phrygian+Authentic,None,None,None,None,None,None,None,None+S,S+S,S+S,None,None,None,None,None,None,None,None+None,None+None,None+None,None,None,None,None,None,None,None,E+A,A+E,E+D,None,None,None,None,None,None,None,None+T,T+T,T+T,None,None,None,None,None,None,None,D,4
DC0922: O cruaulté logée en grant beaulté,Plagal+Authentic,Authentic+Authentic,Authentic+Plagal,Plagal+Authentic,None,None,None,None,None,None,None+S,S+T,T+None,None+S,None,None,None,None,None,None,None+None,"None+Displaced, Inverted, Evaded","Displaced, Inverted, Evaded+None",None+None,None,None,None,None,None,None,A+F,F+C,C+A,A+F,None,None,None,None,None,None,None+T,T+Ct,Ct+None,None+T,None,None,None,None,None,None,F,5
